username,exact_match,followers,raw_followers,network,engagement,categories,location_0,likesCount,commentsCount
chipupu,TRUE,6M,5951153,ig,0.45,"['Music', 'Business', 'Cinema and Acting']",Vietnam,9000,25
,,,,,,,,23817,57
,,,,,,,,1581,14
,,,,,,,,8351,38
,,,,,,,,15600,66
,,,,,,,,8377,147
,,,,,,,,3441,37
,,,,,,,,4158,50
,,,,,,,,4091,116
,,,,,,,,3007,16
charlidamelio,TRUE,43.1M,43115904,ig,0.68,"['Dance', 'Fashion']",United States,1275,15
,,,,,,,,1851,15
,,,,,,,,103111,295
,,,,,,,,38699,32
,,,,,,,,61149,62
,,,,,,,,29585,50
,,,,,,,,1250,37
,,,,,,,,200128,379
,,,,,,,,20693,102
,,,,,,,,25452,33
,,,,,,,,2674,1
blackiii_d,TRUE,157K,156998,ig,0.68,[],Vietnam,277,2
,,,,,,,,187,2
,,,,,,,,8862,328
,,,,,,,,33220,901
,,,,,,,,176,16
,,,,,,,,1783,66
,,,,,,,,6496,87
,,,,,,,,8937,302
,,,,,,,,10415,254
,,,,,,,,3851,26
,,,,,,,,41287,354
alexricee,TRUE,1.1M,1122532,ig,1.37,['Fitness and Wellness'],United States,10785,14
,,,,,,,,2253,21
,,,,,,,,1448,5
,,,,,,,,2603,0
,,,,,,,,3855,40
,,,,,,,,24043,0
,,,,,,,,70512,156
,,,,,,,,3090,9
,,,,,,,,9101,0
